radius ,lambda,r/ lambda,Theta (incident angle),Background1 RI,Backgrnd2 RI,Ri1 of particle 1,Loss1 of particle 1,Kai1 of particle 1,Ri2 of particle 2,Loss2 of particle 2,Kai2 of particle 2,Ri3 of particle 3,Loss3 of particle 3,Kai3 of particle 3,Force F1,Force F2,Force F3,Class Label
100,645,0.15503876,25,1,1.33,1.45,0,0,0.2372,3.1329,0,1.45,0,1,push,push,lateral,Negative Class
100,646,0.154798762,25,1,1.33,1.45,0,0,0.22568,3.1919,0,1.45,0,1,push,push,lateral,Negative Class
100,647,0.154559505,25,1,1.33,1.45,0,0,1.215,1.8434,0,1.45,0,1,push,push,lateral,Negative Class
100,648,0.154320988,25,1,1.33,1.45,0,0,1.1601,1.8401,0,1.45,0,1,push,push,lateral,Negative Class
100,649,0.154083205,25,1,1.33,1.45,0,0,1.105,1.8369,0,1.45,0,1,push,push,lateral,Negative Class
76,700,0.108571429,26,1,1,1.45,0,0,0.131,4.0624,0,1.45,0,-1,pull,push,lateral,Positive Class
76,700,0.108571429,26,1,1,0.131,4.0624,0,0.131,4.0624,0,1.45,0,-1,push,push,lateral,Negative Class
77,720,0.106944444,27,1,1,1.45,0,0,0.13301,4.2351,0,1.45,0,1,pull,push,lateral,Positive Class
77,720,0.106944444,27,1,1,0.13301,4.2351,0,0.13301,4.2351,0,1.45,0,1,push,push,lateral,Negative Class
78,740,0.105405405,28,1,1,1.45,0,0,0.13689,4.4056,0,1.45,0,-1,pull,push,lateral,Positive Class
78,740,0.105405405,28,1,1,0.13689,4.4056,0,0.13689,4.4056,0,1.45,0,-1,push,push,lateral,Negative Class
79,760,0.103947368,29,1,1,1.45,0,0,0.14123,4.5752,0,1.45,0,1,pull,push,lateral,Positive Class
79,760,0.103947368,29,1,1,0.14123,4.5752,0,0.14123,4.5752,0,1.45,0,1,push,push,lateral,Negative Class
80,780,0.102564103,30,1,1,1.45,0,0,0.14737,4.7414,0,1.45,0,-1,pull,push,lateral,Positive Class
80,700,0.114285714,30,1,1,1.45,0,0,0.131,4.0624,0,1.45,0,1,pull,push,lateral,Positive Class
75,700,0.107142857,30,1,1,1.45,0,0,0.13544,3.882,0,1.45,0,1,pull,push,lateral,Positive Class
75,800,0.09375,30,1,1,1.45,0,0,0.15352,4.9077,0,1.45,0,1,pull,push,lateral,Positive Class
80,700,0.114285714,30,1,1,1.45,0,0,1.45,0,1,0.131,4.0624,0,pull,lateral,push,Positive Class
75,800,0.09375,30,1,1.33,1.45,0,0,0.15352,4.9077,0,1.45,0,1,pull,push,lateral,Positive Class
75,800,0.09375,30,1.33,1.33,1.45,0,0,0.15352,4.9077,0,1.45,0,1,pull,push,lateral,Positive Class
80,700,0.114285714,30,1.33,1.33,1.45,0,0,0.131,4.0624,0,1.45,0,1,push,push,lateral,Positive Class
80,780,0.102564103,30,1,1,0.14737,4.7414,0,0.14737,4.7414,0,1.45,0,-1,push,push,lateral,Negative Class
80,700,0.114285714,30,1,1,0.131,4.0624,0,0.131,4.0624,0,1.45,0,1,push,push,lateral,Negative Class
75,700,0.107142857,30,1,1,1.45,0,0,0.13544,3.882,0,1.45,0,0,pull,push,pull,Negative Class
75,800,0.09375,30,1,1,1.45,0,0,1.45,0,0,1.45,0,1,push,push,lateral,Negative Class
80,700,0.114285714,30,1,1,1.45,0,0,1.45,0,0,0.131,4.0624,0,pull,pull,push,Negative Class
80,700,0.114285714,30,1,1.33,1.45,0,0,0.131,4.0624,0,1.45,0,1,push,push,lateral,Positive Class
75,700,0.107142857,30,1,1.33,1.45,0,0,0.13544,3.882,0,1.45,0,1,push,push,lateral,Positive Class
75,700,0.107142857,30,1.33,1.33,1.45,0,0,0.13544,3.882,0,1.45,0,1,push,push,lateral,Positive Class
100,600,0.166666667,30,1.33,1.33,1.215,1.8434,0,1.215,1.8434,0,1.215,1.8434,0,push,push,push,Negative Class
100,601,0.166389351,30,1.33,1.33,1.1601,1.8401,0,1.1601,1.8401,0,1.1601,1.8401,0,push,push,push,Negative Class
100,602,0.166112957,30,1.33,1.33,1.105,1.8369,0,1.105,1.8369,0,1.105,1.8369,0,push,push,push,Negative Class
100,603,0.165837479,30,1.33,1.33,1.0499,1.8336,0,1.0499,1.8336,0,1.0499,1.8336,0,push,push,push,Negative Class
100,604,0.165562914,30,1.33,1.33,0.97112,1.8737,0,0.97112,1.8737,0,0.97112,1.8737,0,push,push,push,Negative Class
100,605,0.165289256,30,1.33,1.33,0.88712,1.9233,0,0.88712,1.9233,0,0.88712,1.9233,0,push,push,push,Negative Class
100,606,0.165016502,30,1.33,1.33,0.80312,1.9729,0,0.80312,1.9729,0,0.80312,1.9729,0,push,push,push,Negative Class
100,607,0.164744646,30,1.33,1.33,0.71912,2.225,0,0.71912,2.225,0,0.71912,2.225,0,push,push,push,Negative Class
100,608,0.164473684,30,1.33,1.33,0.63512,2.0721,0,0.63512,2.0721,0,0.63512,2.0721,0,push,push,push,Negative Class
100,609,0.164203612,30,1.33,1.33,0.59188,2.1364,0,0.59188,2.1364,0,0.59188,2.1364,0,push,push,push,Negative Class
100,610,0.163934426,30,1.33,1.33,0.55758,2.2039,0,0.55758,2.2039,0,0.55758,2.2039,0,push,push,push,Negative Class
100,611,0.163666121,30,1.33,1.33,0.52329,2.2714,0,0.52329,2.2714,0,0.52329,2.2714,0,push,push,push,Negative Class
100,612,0.163398693,30,1.33,1.33,0.48899,2.3389,0,0.48899,2.3389,0,0.48899,2.3389,0,push,push,push,Negative Class
100,613,0.163132137,30,1.33,1.33,0.45469,2.4064,0,0.45469,2.4064,0,0.45469,2.4064,0,push,push,push,Negative Class
100,614,0.16286645,30,1.33,1.33,0.42415,2.4721,0,0.42415,2.4721,0,0.42415,2.4721,0,push,push,push,Negative Class
100,615,0.162601626,30,1.33,1.33,0.40325,2.5329,0,0.40325,2.5329,0,0.40325,2.5329,0,push,push,push,Negative Class
